"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"03-Dec-2018","-","-","-","     4599.68","       65050048","         1785.52"
"04-Dec-2018","-","-","-","     4599.04","       37526357","         1527.96"
"05-Dec-2018","-","-","-","     4534.83","       41540865","         1650.69"
"06-Dec-2018","-","-","-","     4463.56","       44218997","         1743.19"
"07-Dec-2018","-","-","-","     4471.57","       37720713","         1428.30"
"10-Dec-2018","-","-","-","     4393.77","       31289653","         1179.73"
"11-Dec-2018","-","-","-","     4461.72","       40196083","         1773.33"
"12-Dec-2018","-","-","-","     4551.74","       50263272","         1816.73"
"13-Dec-2018","-","-","-","     4542.10","       38884929","         1958.04"
"14-Dec-2018","-","-","-","     4546.40","       27641354","         1318.56"
"17-Dec-2018","-","-","-","     4586.63","       50063207","         1519.05"
"18-Dec-2018","-","-","-","     4586.90","       40578379","         1455.60"
"19-Dec-2018","-","-","-","     4581.63","       33160263","         1458.24"
"20-Dec-2018","-","-","-","     4577.35","       38714956","         1268.18"
"21-Dec-2018","-","-","-","     4503.56","       55627793","         2057.15"
"24-Dec-2018","-","-","-","     4473.33","       35337972","         1312.27"
"26-Dec-2018","-","-","-","     4449.07","       33364195","         1447.90"
"27-Dec-2018","-","-","-","     4444.36","       58440111","         2242.27"
"28-Dec-2018","-","-","-","     4494.27","       35339687","         1851.28"
"31-Dec-2018","-","-","-","     4514.91","       31840495","         1566.77"
"01-Jan-2019","-","-","-","     4511.10","       19576003","          836.87"
